path;community;model name;price;square feet;beds;baths;cars;home style;primary bed;full bath main;full bed on first;den/study
/new-homes/idaho/boise-metro/nampa/adams-ridge/tamarack-loft;Adams Ridge;Tamarack Loft;$ 373,990;1,700;3 - 4;2.5;2;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/topaz;Adams Ridge;Topaz;$ 473,990;3,064 - 3,298;4 - 5;3.5;2 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/trinity;Adams Ridge;Trinity;$ 445,990;2,804;4 - 6;2.5 - 3.5;2 - 3;Primary Down;Down;;;
/new-homes/idaho/boise-metro/nampa/adams-ridge/yosemite;Adams Ridge;Yosemite;$ 480,990;3,259;4 - 7;3.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/agate;Franklin Village North;Agate;$ 504,990;3,435 - 3,654;4 - 6;2.5 - 3;2 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/alturas;Franklin Village North;Alturas;$ 371,990;1,446;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/amethyst;Franklin Village North;Amethyst;$ 421,990;2,008 - 2,204;3 - 5;2.5 - 3;2 - 4;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/birch;Franklin Village North;Birch;$ 386,990;1,620;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/brookfield;Franklin Village North;Brookfield;$ 399,990;1,888;3 - 4;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/brookfield-bonus;Franklin Village North;Brookfield Bonus;$ 421,990;2,279;3 - 5;2 - 3;2 - 3;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/crestwood;Franklin Village North;Crestwood;$ 411,990;2,009;3 - 4;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/emerald;Franklin Village North;Emerald;$ 440,990;2,433 - 2,633;3 - 4;3;2 - 4;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/garnet;Franklin Village North;Garnet;$ 450,990;2,695;4 - 6;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/maple-loft;Franklin Village North;Maple Loft;$ 433,990;2,483;3 - 5;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/opal-bonus;Franklin Village North;Opal Bonus;$ 456,990;2,653 - 2,851;3 - 5;2.5 - 4;2 - 4;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/spruce;Franklin Village North;Spruce;$ 474,990;3,065;4 - 7;2.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/topaz;Franklin Village North;Topaz;$ 485,990;3,064 - 3,298;4 - 5;3.5;2 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/trinity;Franklin Village North;Trinity;$ 456,990;2,804;4 - 6;2.5 - 3.5;2 - 3;Primary Down;Down;;;
/new-homes/idaho/boise-metro/nampa/franklin-village-north/yosemite;Franklin Village North;Yosemite;$ 485,990;3,259;4 - 7;3.5 - 4;2 - 3;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/southern-ridge/agate;Southern Ridge;Agate;Sold Out;3,435 - 3,654;4 - 6;2.5 - 3;2 - 4;2 Story;Up;;;
/new-homes/idaho/boise-metro/nampa/southern-ridge/amethyst;Southern Ridge;Amethyst;Sold Out;2,008 - 2,204;3 - 5;2.5 - 3;2 - 4;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/southern-ridge/birch;Southern Ridge;Birch;Sold Out;1,620;3;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/southern-ridge/brookfield;Southern Ridge;Brookfield;Sold Out;1,888;3 - 4;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/southern-ridge/brookfield-bonus;Southern Ridge;Brookfield Bonus;Sold Out;2,279;3 - 5;2 - 3;2 - 3;1.5 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/southern-ridge/crestwood;Southern Ridge;Crestwood;Sold Out;2,009;3 - 4;2;2 - 3;1 Story;Down;;;
/new-homes/idaho/boise-metro/nampa/southern-ridge/emerald;Southern Ridge;Emerald;Sold Out;2,433 - 2,633;3 - 4;3;2 - 4;1 Story;Down;;;
